description,name
Karikuy is looking for volunteers who wish to spend some time in Peru doing field work and exploring the country to gather information for Project Perupedia.,Karikuy
Volunteer Teaching English in China,Career in China
"World Camp, Inc. is a non-profit organization committed to empowering children in impoverished communities around the world through education. ",World Camp For Kids
"A unique resource for volunteers, scientists and researchers.",Savannah Camps
"Flying Samaritans is a volunteer organization which operates free medical clinics in Baja California, Mexico.",Flying Samaritans
   Work camp Kenya is a non-profit making organization based and registered in Kenya which works solely to promote both local and international volunteerism and community empowerment through strategic initiatives that build their lives.  ,Workcamp Kenya
"Simon is a community of homeless people and volunteers living and working together in a spirit of acceptance, tolerance and understanding.  ",The Simon Community
The purpose of Bridges for Education is to promote tolerance and understanding using English as a bridge.,Bridges For Education
"Gateway Church is a vibrant community-focused Church in the heart of Acomb, York. We are offering tailor-made internship programmes lasting 6-10 months.",Gateway Church
"   The African Conservation Foundation works to preserve Africa’s wildlife by supporting, linking and conducting conservation projects throughout the continent.  ",African Conservation Foundation (ACF)
Dental Project Peru provides emergency dental care and education to the most impoverished and rural areas of Peru. ,Dental Project Peru
The Volunteer Centre of Recife is a non-profit organisation working to increase the volunteerism culture in the Metropolitan Area of Recife,Recife Voluntario Brazil 
Responds to suffering victims in war and disaster situations (especially those which have been forgotten or neglected) through various kinds of emergency and rehabilitative projects.,MedAir
"Dedicated support of communities in developing countries by working along side them to provide basic infrastructure, facilities and resources  ",Raw Planet
"The JST is a registered charity that owns and operates Lord Nelson and Tenacious, the only two tall ships in the world designed and built to enable people of all physical abilities to sail side-by-side as equals. ",Jubilee Sailing Trust
"The Epiphany Trust is a legally constituted charity, dedicated to helping others, regardless of creed culture, by aid and education, and by encouraging groups and individuals wishing to initiate or continue their own projects.",Epiphany
ARTICLE 19 is a human rights organisation with a specific mandate and focus on the defence and promotion of freedom of expression and freedom of information worldwide.,ARTICLE 19
Short term and long term volunteers at Bacalar Chico,Bacalar Chico
Volunteers are needed to carry out a biological survey of the rainforest bordering the Cotacachi Cayapas Ecological Reserve in Ecuador.,San Miguel Eco Project
ESPWA means HOPE in Creole. We are a nonprofit passionately dedicated to the advancement of organic food production as the foundation for global food security and good health.,ESPWA
Volunteering and Internships in Nepal,Chhahari Group Nepal
Merryweather’s Herbs is the creation and lifetime’s devotion of just two people – husband and wife partnership Ian and Liz O’Halloran. ,Merryweathers Herbs
"American Eurasian Research Institute, Inc. (AERI)","American Eurasian Research Institute, Inc. (AERI)"
"   HELPS International, organized in 1984, is a US 501(c)(3) non-profit corporation...  ",HELPS International
"Without the support and commitment of volunteers, Friends of the Earth would be unable to carry out its vital campaigning work.",Friends of the Earth
WWF Guianas welcomes the visit of more than 100 Forestry Experts of all over the world from 8-12 September to discuss about ?Alternative Funding Mechanisms for Sustainable Forest management?.,WWF Guianas
Volunteer Nepal,Volunteer Nepal
Dakshinayan is a volunteer based organization providing education and health care to tribal and other rural communities in India.,Dakshinayan
Work in a large orphanage teaching and caring for children,Casa Guatemala
"Taiga Rescue Network (TRN) is working to support local struggles and strengthen the cooperation between individuals, NGOs and indigenous peoples...",Taiga Rescue Network (TRN)
Thrive Africa is all about guiding people to become fully-devoted followers of Christ and equipping them to be leaders who are highly competent and strong in character.,Thrive Africa
"The Khama Rhino Sanctuary Trust is a community based wildlife project, established in 1992...",Khama Rhino Sanctuary
