contact_number,description,email,cause_area,name,website,address
080 2538 4443        ,"SGBS vision: ""With society, towards serenity.""Unnati was started with 3 main objectives in mind:1.) A student getting trained at Unnati must have a job in hand at the end of the training i.e. guaranteed placement and empowering the youth2.) Unnati is not just about training in vocational skills; it is about creating better human beings and better citizens for this country3.) Unnati student must be a change agent for the community from which he comes. He/she must be a role model, who is able to gain respect wherever he/she goes.These 3 core objectives also form the principles on which Unnati functions. Unnati believes that an individual is able to command respect not because of the job he pursues, but actually through his conduct, interaction, and effective communication.   ",contactus@unnatiblr.org  ,"Child and Youth Development, Employment Support",Sree Guruvayurappan Bhajan Samaj Trust (SGBS Trust),http://www.unnatiblr.org,"#1, Temple Road NGEF Layout Sadanandanagar, Bangalore, 560038 INDIA"
080 2843 2702        ,"Sri Sri Ravishankar Vidya Mandir Trust is a Public Charitable Trust having no commercial or profit motive. The Trust works for the benefit of the people generally, without any distinction of caste, creed, religion, or sex. The main objectives of the Trust are broadly classified into three categories: education, medical relief, and relief of the poor.   ",finance@ssrvm.org  ,"Community Improvement, Education",Sri Sri Ravishankar Vidya Mandir Trust,http://www.ssrvm.org,"3rd Floor, Sri Sri College of Ayurvedic Science and Research Sri Sri Ravishankar Educational Campus, 21st Km Kanakapura Main Road Udayapura P.O., Bangalore, 560082 INDIA"
886 578 4633886 577 9674       ,    ,joanna@charity.org.tw  ,"Medicine, Diseases and Disorders",St. Joseph Social Welfare Foundation,http://www.charity.org.tw,"No 26, Lane 6, Puding Road, Hsinchu, 30072 TAIWAN"
+6042635418+6042625418       ,"To provide each child with the best care and education possible during his/her stay at St. Joseph's Home in an environment where the child will feel safe, comfortable, and happy. The Overall Theme for Year 2015 is Appreciation with quarterly focus on Affirmation; Acknowledgement; Achievement & Accountability.   ",   ,"Child and Youth Development, Education",St. Joseph's Home,http://www.hati.my/children/st.joseph.home/,"52-K & 52-R Penang Road, Penang, 10000 MALAYSIA"
91-3561-255271        ,    , bishjal@yahoo.co.uk ,Religion,St. Thomas Catholic Church,,"Bishop's House PO Jalpaiguri Dist. Jalpaiguri, Town Jalpaiguri, 735101 INDIA"
         ,    ,   ,Community Improvement,Start Now Pte Ltd,http://www.startnow.sg/,"Blk 163, Ang Mo Kio Ave 4, #01-448, Singapore, 560163 SINGAPORE"
66 2 215 338866 2 215 8272       ,"ECPAT International's primary purposes are to eliminate child prostitution, child pornography and trafficking in children for sexual purposes; to promote that children worldwide can enjoy their fundamental rights, free and secure from all forms of commercial sexual exploitation; and furthermore, to do and perform all acts and things which in the broadest sense relate or may be conducive to the aforesaid subjects.ECPAT International is a global network of organisations dedicated to ending the commercial sexual exploitation of children (CSEC). Today, the network is comprised of an International Secretariat based in Thailand, together with 82 local member organisations in 75 countries. ECPAT works to build collaboration among local civil society and the broader child rights community to form a global social movement for protection of children from sexual exploitation. Its membership reflects the richness and diversity of experience, knowledge and perspectives that arise from working in widely different contexts. ECPAT has sought to nurture and harness the commitment underpinning its partnerships with network members, (I)NGOs, UN agencies, private sector and law enforcement to ensure a collective presence and response to address the global issue of commercial sexual exploitation of children. Today, ECPAT Inter­na­tional is a hub of exper­tise in action and advo­cacy and through grassroots organisations in every con­ti­nent, coor­di­nates research, advocacy and action to pro­tect the rights of chil­dren to live free from commercial sex­ual exploitation.  ",erwin@ecpat.net  ,"Child and Youth Development, Aid and Development",Stichting ECPAT International,http://www.ecpat.net,"328/1/ Phayathai Road Ratchatewi, Bangkok, 10400 THAILAND"
91-98452-61892        ,    ,krupa.sukrupa@gmail.com  ,Community Improvement,SUKRUPA,http://www.sukrupa.org,"15 G.R. Layout, Cholanayakanahalli (Near Rajiv Gandhi Dental College) R.T. Nagar, Bangalore, 560032 INDIA"
81-3-5449-1331        ,"We support refugees (Indochinese Refugees, Convention Refugees, Resettled Refugees), returnees from China and Nikkeis (Japanese descendants) for their settlement and independence in Japan.   ",info@support21.or.jp  ,Community Improvement,Support21 Social Welfare Foundation,http://www.support21.or.jp,"6F Mizuho Bldg. 2-12-2 Kamiosaki, Shinagawa-ku, Tokyo, 1410021 JAPAN"
00918026679463        ,"To impart quality and man making education to the poorest of the poor in the society as envisaged by the great patriot saint of India, Swami Vivekananda.   ",svvhs_1970@yahoo.co.in  ,Community Improvement,Swami Vivekananda Educational Society,http://www.svvshala.com,"CA No. 5A 3rd Cross, Banashankari I Stage, II Block, Bangalore, 560 050 INDIA"
08136-2445489448106012       ,"Established in 1990, Swami Vivekananda Integrated Rural Health Centre aids the most backward and underdeveloped area of the region spanning a population of nearly 8 lakh. The initial focus of the organization was to eradicate the high Leprosy rate. After 20 years of working in partnership with the government, the Leprosy rate has dropped down from 8.5 to < 1. A total of 3,615 Leprosy patients have been diagnosed and cured through this institution.Swami Vivekananda Integrated Rural Health Centre also hosts programmes such as:Reconstructive surgery for those affected with LeprosyThe Livelihood Enhancement programme, where cured Leprosy patients are able to support their day-to-day life by working in Petty shops, livestock maintenance, and occupations such as tailoring and carpentryThe Tuberculosis control programme where a total of 10,703 patients have been diagnosed and treated.The Blindness control project where over 15,000 patients have received eye-related surgeries.The Pediatric ophthalmic project, specifically designed for school-aged children. Nearly 80,000 children have been screened. 2,000 children have received glasses and 400 children have been able to receive surgeries free of cost to them relating to eye problems such as squint and coloboma.The HIV/AIDS projectMother and Child Care Project   ",swajapa@yahoo.com  ,"Medicine, Diseases and Disorders",Swami Vivekananda Integrated Rural Health Centre,http://www.vivekasev.org,"Vivekananda Nagara Tumkur Road, Pavagada, 561202 INDIA"
968666630008026586934       ,To facilitate and develop processes that improve the quality of life of people.   ,ceo@svym.org.in  ,"Medicine, Diseases and Disorders, Community Improvement",Swami Vivekananda Youth Movement,http://www.svym.org,"CA-2, KIADB Industrial Housing Area, Ring Road, Hebba, Mysore, 570016 INDIA"
011 26151587011 26148269       ,"Tamana is not just a non-governmental organisation or a school of a different kind, it is the realisation of a long cherished dream; it is a social movement; it is an infinite process. Our mission is to provide a quantum leap for the welfare and rehabilitation of children whose only fault is to have been born without normal faculties. Ensuring this welfare is the collective responsibility of a progressive and egalitarian society of which these children have a right to be an integral part. Our mission is- to make our students part of the mainstream, which is full of aspiration and hope; to be fully equipped to overcome any problem or difficulty and to strive ahead to be useful members of the society. Tamana is dedicated to serving the needs of multiply handicapped children, to enlighten the society and bring in awareness about such causes. Its principal aims are to:Create and maintain a motivated, dedicated and quality oriented team of professionals.Educate and prepare multiply handicapped children to live within the community, having achieved threefold independence - physical, social and financial- to the best of their abilities.Provide therapy and counseling appropriate to their physical, social, financial, emotional, communication skills and speech related needs.Actively contribute to programs towards building social awareness through appropriate media (conferences, telefilms, TV, seminars, literature, etc.).Conduct critical research in key areas of special education and training.Provide expert legal advocacy to such persons and their families.Establish and promote mutually beneficial relationships with international organisations which have similar objectives.Contributing to the training and development of manpower in the field of special education.Utilize science/technology and research to facilitate their physical and mental growth. Working by the above objectives has enabled Tamana to grow from educating four children under a tent to becoming one of the most dedicated and known special schools in India and outside.  'Tamana’ is a not for profit charitable organization which has been relentlessly working in the field of disabilities in India over the last 29 years. Registered on 5th March 1984, Tamana was founded by Padmabhushan and Padmashree awardee Dr. (Mrs.) Shayama Chona and is named after her daughter Tamana who was born with Cerebral Palsy. Since its inception, Tamana has been successfully providing rehabilitative services to children with Autism, Mental and Multiple disabilities. Children with special needs are provided a holistic developmental education which includes special education, life skills training and vocational training to effect optimum adult rehabilitation. Besides special education and prevocational training ‘Tamana’ is providing additional services such as a Residential Hostel; Fun club for recreational activities; Diagnostic Center – Consisting of a multi disciplinary team of experts comprising of psychologists, counselors, special educators, occupational therapists, physiotherapists and social workers and an Early Intervention Center specially designed to provide services to children from birth to 5 years of age. Our three schools, namely Tamana Special School(Age Group 4-17 yrs.), Tamana Nai Disha – The Vocational Training Center running under NIOS Curriculum(Age Group 10-25 yrs.) and The Research Center – School of Hope Autism Center Tamana (Age Group 2-25 Yrs.), constantly strive towards improving the services and programs by introducing new research led innovations and equipping our schools with the latest state-of-the-art technology in our programmes, through the recently setup research department. For its outstanding work in the Not for profit sector as a registered NGO, especially Autism, 'Tamana' has been recognised by the UN, various Govt. of India institutions and past Presidents of India. Tamana is currently also acting as an advisory partner to NIOS, the world’s largest open schooling system. At Tamana, we understand how important a role technology and research can play in ensuring social justice for the less fortunate and our research department is constantly striving to work towards that goal. The Department of Woman and Child Development, Govt. of India also gave The Research Centre - School of Hope the National Award for Child welfare in 2006. The United Nations has also granted Tamana ECOSOC status. Tamana has also been conducting various workshops on many special educational aspects since 1991, including various International Conferences on Autism, running a special out-reach program, and a special education teacher training cell for B.Ed, PGPDSE-MR and PGPCSE-MR, which has also been selected by the Rehabilitation Council of India (RCI) to run a Diploma program in Autism Spectrum Disorder and Mental Retardation. The grant will be used for the following:Research in the newly planned Cognitive and NeuroSciences Research Lab.ICT products in the Research and Technology Center for Autistic and Intellectually Challenged Children.Train the trainers program for various ongoing and planned technology related programs.Adding to the currently running Out-reach program.New vocational education facilities such as for Painting, Front office/Hospitality management as well as Bakery and Confectionery.Expand hostel and day care facilities. Assist to setup self help and home based industries.Early Intervention program.Parental Counseling.Care Givers Program.	 ",tamanapresident@gmail.com  ,"Education, Medicine, Diseases and Disorders",Tamana,http://info@tamana.org,"Tamana - Nai Disha C - 10/8, Vasant Vihar, New Delhi, 110057 INDIA"
