cause_area,city,country,description,name,website
"Overseas Aid,",Hanoi,Vietnam,United Nations Volunteers (UNV) is the UN programme that supports global human development by promoting volunteerism and mobilizing volunteers.,United Nations Volunteers Vietnam,http://www.un.org.vn/unv
"Hunger/Poverty,Medical,",Dong Da District Hanoi,Vietnam,"HealthBridge is an international, non-profit, non-governmental organization that identifies, analyzes, and bridges gaps in public health, HealthBridge has been working since 1982 in Asia, Africa and the Americas. It is an agile and efficient organization that aims to improve the health of vulnerable populations, including those at risk of malnutrition, infections disease (particularly malaria and HIV/AIDS), and emerging epidemics, such as obesity and tobacco-caused disease. HealthBridge helps local partners develop and implement appropriate solutions, apply innovative and sustainable practices, and promote effective policies.",Healthbridge Vietnam,http://www.healthbridge.ca
"Children,Research,",Hanoi,Vietnam,"Research Center Health Family and Community Development - CEFACOM, an NGO in Vietnam, directly under the Union of Scientific and Technical Vietnam. CEFACOM always focused field research and provide community support, especially those families facing difficulties.",Research Center For Family Health And Community Development Cefacom,http://cefacom.org.vn
"Environment,",Hanoi,Vietnam,"Planet is a new conservation concept. We are developing a conservation organization that is self-financed and approaches conservation in a holistic manner, incorporating ownership, gender, economy and protection into its outlook.",Planet,http://restoreeden.com
"Environment,Medical,",Hanoi,Vietnam,DED's activities are part of the overall Vietnamese-German bilateral cooperation. The following priority areas have been agreed between the Vietnamese and the German government:,Deutschen Entwicklungsdienst Ded,http://vietnam.ded.de
"Environment,",Hanoi,Vietnam,"BirdLife International in Indochina is a regional programme of the BirdLife Secretariat, BirdLife International in Indochina works to promote conservation in the Kingdom of Cambodia, the Lao People's Democratic Republic, the Union of Myanmar and the Socialist Republic of Vietnam. BirdLife International took the step of establishing an Indochina programme as a means to address global conservation priorities in a region lacking indigenous civil society. Our name was chosen to reflect the biogeographic region we cover which is the Indochinese peninsula, sometimes now also called the Greater Mekong Region.",Birdlife International In Indochina,http://www.birdlifeindochina.org
"Religious,",Hanoi,Vietnam,"CWS Vietnam began its work in Vietnam in 1954 in response to a refugee emergency. Since then, CWS Vietnam has supported Vietnam continuously with projects primarily focused on improving health services, access to water, nutrition for children, education for ethnic minorities and disaster relief.",Church World Service Cws Vietnam,http://www.cws.org.vn
"Hunger/Poverty,",Hanoi,Vietnam,"The Food and Agriculture Organization (FAO) is a specialized agency of the United Nations with the mandate to combat hunger and ensure food security. It aims to raise levels of nutrition, improve agricultural productivity, and better the lives and livelihoods of rural populations as well as to contribute to the growth of the world economy.",Food And Agriculture Organization Of The United Nations Fao,http://www.fao.org.vn
"Children,",Hanoi,Vietnam,"Humanitarian Services for Children of Vietnam (HSCV) is dedicated to serving orphans, homeless children and other children in need in Vietnam. Assistance is provided in the areas of food, shelter, clothing, health and education. Services are provided directly to the children by HSCV or through local Vietnamese child-based organizations addressing these needs.",Humanitarian Services For Children Of Vietnam,http://www.hscv.org
"Educational,Research,",Hanoi,Vietnam,"IIE-Vietnam is a branch of the Institute of International Education, an independent nonprofit organization headquartered in New York City and located across from the United Nations.",Institute Of International Education Iie,http://www.iievn.org
"Human Rights,",Hanoi,Vietnam,"IOM began its operations in Thailand in 1975, assisting the resettlement of Indo-Chinese refugees to countries offering them permanent residence.  Thailand became a member of IOM on 28 May 1986. Since then IOM cooperation with the governments of the region and has grown many fold.",International Organization For Migration  South East Asia,http://www.iom-seasia.org
"Environment,Research,",Hanoi,Vietnam,"IWMI is one of 15 international research centers supported by the network of 60 governments, private foundations and international and regional organizations collectively known as the Consultative Group on International Agricultural Research (CGIAR). It is a non-profit organization with a staff of 350 and offices in over 10 countries across Asia and Africa and Headquarters in Colombo, Sri Lanka.",International Water Management Institute Iwmi Southeast Asia Vietnam,http://www.iwmi.cgiar.org
